time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
8400,3.0,66.43314933776855,,,,,,3533.7115692138673,2090,0.2,-3.0499398529529573,0.15108108520507812,0.0003,-0.015250350322166905,0.15250000283122062,0.015344622,0.6941885948181152,1615.7498779296875
8400,,,4.3,109.09468229,7326,1,210,,,,,,,,,,,
8440,5.0,138.9534057378769,,,,,,2302.9231914520265,2100,0.2,-3.0425992608070374,0.24383217096328735,0.0003,-0.03684830805170349,0.3175000069662929,0.03603282,0.6936807036399841,709.2647094726562
8440,,,4.35,110.77815687999998,7361,1,211,,,,,,,,,,,
8480,5.0,168.08338165283203,,,,,,2449.04038734436,2110,0.2,-3.0387151926755904,0.2259080410003662,0.0003,-0.017879642809130014,0.275000006146729,0.008071305,0.6927496194839478,725.9960327148438
8480,,,4.25,107.70326940000001,7465,1,212,,,,,,,,,,,
8520,4.0,73.07542788982391,,,,,,2458.913600921631,2120,0.2,-3.0358633786439895,0.11575943231582642,0.0003,-0.02498526800292893,0.2775000059977174,0.015683474,0.6930066347122192,1013.4070434570312
8520,,,4.23,110.73348781,7507,1,213,,,,,,,,,,,
8560,5.0,172.7511806488037,,,,,,2277.4032497406006,2130,0.2,-3.034296455979347,0.20563477277755737,0.0003,-0.038156422838656,0.4675000099465251,0.03424564,0.692597508430481,971.9232177734375
8560,,,4.22,108.40129154000002,7545,1,214,,,,,,,,,,,
8600,5.0,197.0356330871582,,,,,,1867.2234176635743,2140,0.2,-3.026506859064102,0.29652833938598633,0.0003,-0.013528218792635016,0.352500007674098,0.035941906,0.6907171010971069,925.6661987304688
8600,,,4.14,107.63716875,7592,1,215,,,,,,,,,,,
8640,5.0,82.95480060577393,,,,,,2970.8647850036623,2150,0.2,-3.018960678577423,0.1011345386505127,0.0003,-0.027558027404484164,0.23750000447034836,0.009725401,0.690105676651001,1721.9920654296875
8640,,,4.1,110.65542653000003,7631,1,216,,,,,,,,,,,
8680,4.0,53.161048412323,,,,,,3232.8472286224364,2160,0.2,-3.017050439119339,0.0788043737411499,0.0003,-0.019936061761654855,0.30250000674277544,0.043133404,0.6898948550224304,2843.993896484375
8680,,,4.08,109.76553512999999,7670,1,217,,,,,,,,,,,
8720,3.0,56.45860290527344,,,,,,1465.2379989624023,2170,0.2,-3.0122670382261276,0.3300255537033081,0.0003,-0.014978670562850311,0.5375000091269613,0.093955584,0.6869807243347168,993.955078125
8720,,,4.08,107.93421186000002,7707,1,218,,,,,,,,,,,
8760,4.0,105.09712219238281,,,,,,2349.009985923767,2180,0.2,-3.0012888640165327,0.12687450647354126,0.0003,-0.020239785203302763,0.3300000077113509,0.028281063,0.684754490852356,1255.142333984375
8760,,,4.04,105.31656801999998,7747,1,219,,,,,,,,,,,
8800,5.0,160.22376823425293,,,,,,2946.679314804077,2190,0.2,-2.9939756125211714,0.13900244235992432,0.0003,0.01934151106921491,0.2675000049173832,0.013793685,0.6842007040977478,1675.021484375
8800,,,4.14,108.28409676999999,7784,1,220,,,,,,,,,,,
8840,5.0,111.99545621871948,,,,,,1166.142737197876,2200,0.2,-2.998519256711006,0.4216964840888977,0.0003,-0.008959802995850618,0.22000000439584255,0.021175832,0.6873404383659363,710.6246948242188
8840,,,4.17,107.82849440999999,7817,1,221,,,,,,,,,,,
