time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
3120,,,5476,0,56.95762398,4.09,78,,,,,,,,,,,
3160,5.0,48.54659652709961,,,,,,0.044133276,0.0003,0.3541952967643738,780,206.961669921875,-3.6144740372896194,0.5100000100210309,0.014306205032080488,521.1743700027466,0.2,0.8142704963684082
3160,,,5575,0,60.53176986999999,4.09,79,,,,,,,,,,,
3200,5.0,54.51326549053192,,,,,,0.024098905,0.0003,0.15306192636489868,790,563.6829833984375,-3.6082429081201552,0.2050000039860606,-0.001969825424457672,1543.697787475586,0.2,0.8134734034538269
3200,,,5614,0,61.631810320000014,4.13,80,,,,,,,,,,,
3240,4.0,0.9848477840423584,,,,,,0.008252155,0.0003,0.2665666937828064,800,371.8350524902344,-3.605173760652542,0.22750000525265932,-0.00682241376081949,601.8368505477905,0.2,0.8126985430717468
3240,,,5652,0,61.296403059999996,4.07,81,,,,,,,,,,,
3280,5.0,120.9849624633789,,,,,,0.021963835,0.0003,0.0909804105758667,810,607.5947265625,-3.603037577867508,0.16000000312924384,-0.0107196991732053,1272.6836559295655,0.2,0.8121125102043152
3280,,,5673,0,64.41333279999999,4.17,82,,,,,,,,,,,
3320,5.0,38.01241135597229,,,,,,0.045823913,0.0003,0.15838563442230225,820,246.4247589111328,-3.6007569462060927,0.2925000058487058,-0.03325908085382252,945.3125442504883,0.2,0.8113431930541992
3320,,,5739,0,68.29766169,4.25,83,,,,,,,,,,,
3360,5.0,77.15226602554321,,,,,,0.031133156,0.0003,0.31083905696868896,830,245.13963317871094,-3.5973509579896925,0.3375000076368451,-0.0138365001400234,794.3476821422577,0.2,0.8113679885864258
3360,,,5755,0,69.35638455,4.3,84,,,,,,,,,,,
3400,5.0,90.50482273101807,,,,,,0.0052588983,0.0003,0.2945772409439087,840,380.420654296875,-3.5992574453353883,0.2875000063329935,-0.006506556606182134,538.7049520492553,0.2,0.8125669956207275
3400,,,5772,0,66.65589067,4.29,85,,,,,,,,,,,
